Project,Date,accessors,blocker_violations,conditions_to_cover,new_it_conditions_to_cover,new_conditions_to_cover,burned_budget,business_value,classes,class_complexity_distribution,comment_lines,commented_out_code_lines,comment_lines_density,comment_lines_data,complexity,class_complexity,file_complexity,function_complexity,complexity_in_classes,complexity_in_functions,branch_coverage,new_it_branch_coverage,new_branch_coverage,conditions_by_line,confirmed_issues,coverage,new_it_coverage,coverage_line_hits_data,new_coverage,covered_conditions_by_line,critical_violations,last_commit_date,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,duplications_data,false_positive_issues,files,file_complexity_distribution,functions,function_complexity_distribution,generated_lines,generated_ncloc,info_violations,violations,it_conditions_to_cover,it_branch_coverage,it_conditions_by_line,it_coverage,it_coverage_line_hits_data,it_covered_conditions_by_line,it_line_coverage,it_lines_to_cover,it_uncovered_conditions,it_uncovered_lines,line_coverage,new_it_line_coverage,new_line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,new_it_lines_to_cover,new_lines_to_cover,major_violations,minor_violations,ncloc_data,new_blocker_violations,new_critical_violations,new_info_violations,new_violations,new_major_violations,new_minor_violations,open_issues,overall_conditions_to_cover,new_overall_conditions_to_cover,overall_branch_coverage,new_overall_branch_coverage,overall_conditions_by_line,overall_coverage,overall_coverage_line_hits_data,new_overall_coverage,overall_covered_conditions_by_line,overall_line_coverage,new_overall_line_coverage,overall_lines_to_cover,new_overall_lines_to_cover,overall_uncovered_conditions,new_overall_uncovered_conditions,overall_uncovered_lines,new_overall_uncovered_lines,projects,public_api,public_documented_api_density,public_undocumented_api,quality_gate_details,alert_status,reopened_issues,skipped_tests,development_cost,sqale_rating,statements,new_technical_debt,sqale_debt_ratio,new_sqale_debt_ratio,uncovered_conditions,new_it_uncovered_conditions,new_uncovered_conditions,uncovered_lines,new_it_uncovered_lines,new_uncovered_lines,test_errors,test_failures,test_success_density,tests,test_data,test_execution_time,code_smells:complex_class,code_smells:blob_class,code_smells:class_data_private,code_smells:functional_decomposition,code_smells:spaghetti_code,code_smells:antisingleton,code_smells:baseclass_knows_derived,code_smells:baseclass_abstract,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:speculative_generality,code_smells:swiss_army_knife,code_smells:tradition_breaker,Jira
CLI,2002-06-13T00:00:00+0200,2,0,null,null,null,null,null,22,null,609,null,24.6,null,358,16.3,17.0,2.3,null,null,null,null,null,null,0,null,null,null,null,null,6,null,2,10,3,162,4.1,null,0,21,0=7;5=4;10=3;20=3;30=2;60=2;90=0,159,1=105;2=34;4=7;6=4;8=2;10=2;12=5,null,null,1,226,null,null,null,null,null,null,null,null,null,null,null,null,null,3955,1864,java=1864,null,null,null,145,74,null,null,null,null,null,null,null,226,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,167,37.1,105,{"level":"WARN";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"226";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},WARN,0,null,55920,B,792,null,6.1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLI,2002-06-17T00:00:00+0200,2,0,null,null,null,null,null,24,null,654,null,25.7,null,362,15.1,15.7,2.2,null,null,null,null,null,null,0,null,null,null,null,null,8,null,2,10,3,162,3.9,null,0,23,0=8;5=4;10=4;20=3;30=3;60=1;90=0,161,1=103;2=36;4=7;6=4;8=2;10=2;12=5,null,null,1,228,null,null,null,null,null,null,null,null,null,null,null,null,null,4174,1892,java=1892,null,null,null,149,70,null,null,null,null,null,null,null,228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,173,40.5,103,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"2";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"228";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,56760,B,799,null,5.5,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLI,2002-06-19T00:00:00+0200,2,0,null,null,null,null,null,26,null,678,null,25.3,null,381,14.7,15.2,2.3,null,null,null,null,null,null,0,null,null,null,null,null,8,null,2,12,5,274,6.2,null,0,25,0=8;5=5;10=5;20=3;30=3;60=1;90=0,166,1=106;2=37;4=7;6=4;8=2;10=2;12=6,null,null,1,239,null,null,null,null,null,null,null,null,null,null,null,null,null,4405,2004,java=2004,null,null,null,157,73,null,null,null,null,null,null,null,239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,40.6,107,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"2";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"239";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,60120,B,857,null,5.8,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-06-20T00:00:00+0200,2,0,null,null,null,null,null,26,null,691,null,25.6,null,383,14.7,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,8,null,2,12,5,274,6.2,null,0,25,0=9;5=4;10=5;20=3;30=3;60=1;90=0,166,1=106;2=36;4=7;6=5;8=2;10=2;12=6,null,null,1,235,null,null,null,null,null,null,null,null,null,null,null,null,null,4423,2003,java=2003,null,null,null,154,72,null,null,null,null,null,null,null,235,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,41.7,105,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"2";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"235";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,60090,B,857,null,5.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-06-21T00:00:00+0200,2,0,null,null,null,null,null,26,null,691,null,25.6,null,383,14.7,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,8,null,2,12,5,274,6.2,null,0,25,0=9;5=4;10=5;20=3;30=3;60=1;90=0,166,1=106;2=36;4=7;6=5;8=2;10=2;12=6,null,null,1,235,null,null,null,null,null,null,null,null,null,null,null,null,null,4423,2003,java=2003,null,null,null,154,72,null,null,null,null,null,null,null,235,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,41.7,105,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"2";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"235";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,60090,B,857,null,5.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-06-24T00:00:00+0200,2,0,null,null,null,null,null,26,null,691,null,25.6,null,383,14.7,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,8,null,2,12,5,274,6.2,null,0,25,0=9;5=4;10=5;20=3;30=3;60=1;90=0,166,1=106;2=36;4=7;6=5;8=2;10=2;12=6,null,null,1,235,null,null,null,null,null,null,null,null,null,null,null,null,null,4423,2003,java=2003,null,null,null,154,72,null,null,null,null,null,null,null,235,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,41.7,105,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"2";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"235";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,60090,B,857,null,5.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-07-05T00:00:00+0200,2,0,null,null,null,null,null,28,null,579,null,20.6,null,413,14.8,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,11,null,2,19,5,686,14.9,null,0,27,0=9;5=5;10=3;20=5;30=4;60=1;90=0,180,1=108;2=46;4=9;6=6;8=2;10=2;12=5,null,null,1,250,null,null,null,null,null,null,null,null,null,null,null,null,null,4615,2225,java=2225,null,null,null,156,82,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,193,38.3,119,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"5";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"250";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,66750,B,946,null,6.2,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-07-08T00:00:00+0200,2,0,null,null,null,null,null,28,null,581,null,20.7,null,413,14.8,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,11,null,2,19,5,686,14.9,null,0,27,0=9;5=5;10=3;20=5;30=4;60=1;90=0,180,1=108;2=46;4=9;6=6;8=2;10=2;12=5,null,null,1,250,null,null,null,null,null,null,null,null,null,null,null,null,null,4618,2226,java=2226,null,null,null,156,82,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,194,38.7,119,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"5";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"250";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,66780,B,947,null,6.2,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-07-10T00:00:00+0200,2,0,null,null,null,null,null,28,null,581,null,20.7,null,413,14.8,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,11,null,2,19,5,686,14.9,null,0,27,0=9;5=5;10=3;20=5;30=4;60=1;90=0,180,1=108;2=46;4=9;6=6;8=2;10=2;12=5,null,null,1,247,null,null,null,null,null,null,null,null,null,null,null,null,null,4613,2222,java=2222,null,null,null,153,82,null,null,null,null,null,null,null,247,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,194,38.7,119,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"5";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"247";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,66660,B,946,null,6.2,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLI,2002-07-16T00:00:00+0200,2,0,null,null,null,null,null,28,null,639,null,22.3,null,412,14.7,15.3,2.3,null,null,null,null,null,null,0,null,null,null,null,null,11,null,2,19,5,686,14.4,null,0,27,0=9;5=5;10=3;20=5;30=4;60=1;90=0,180,1=108;2=47;4=8;6=6;8=1;10=3;12=5,null,null,1,225,null,null,null,null,null,null,null,null,null,null,null,null,null,4764,2224,java=2224,null,null,null,152,61,null,null,null,null,null,null,null,225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,194,44.8,107,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"5";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"225";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,66720,B,946,null,6.1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
