Project,Date,accessors,blocker_violations,conditions_to_cover,new_it_conditions_to_cover,new_conditions_to_cover,burned_budget,business_value,classes,class_complexity_distribution,comment_lines,commented_out_code_lines,comment_lines_density,comment_lines_data,complexity,class_complexity,file_complexity,function_complexity,complexity_in_classes,complexity_in_functions,branch_coverage,new_it_branch_coverage,new_branch_coverage,conditions_by_line,confirmed_issues,coverage,new_it_coverage,coverage_line_hits_data,new_coverage,covered_conditions_by_line,critical_violations,last_commit_date,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,duplications_data,false_positive_issues,files,file_complexity_distribution,functions,function_complexity_distribution,generated_lines,generated_ncloc,info_violations,violations,it_conditions_to_cover,it_branch_coverage,it_conditions_by_line,it_coverage,it_coverage_line_hits_data,it_covered_conditions_by_line,it_line_coverage,it_lines_to_cover,it_uncovered_conditions,it_uncovered_lines,line_coverage,new_it_line_coverage,new_line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,new_it_lines_to_cover,new_lines_to_cover,major_violations,minor_violations,ncloc_data,new_blocker_violations,new_critical_violations,new_info_violations,new_violations,new_major_violations,new_minor_violations,open_issues,overall_conditions_to_cover,new_overall_conditions_to_cover,overall_branch_coverage,new_overall_branch_coverage,overall_conditions_by_line,overall_coverage,overall_coverage_line_hits_data,new_overall_coverage,overall_covered_conditions_by_line,overall_line_coverage,new_overall_line_coverage,overall_lines_to_cover,new_overall_lines_to_cover,overall_uncovered_conditions,new_overall_uncovered_conditions,overall_uncovered_lines,new_overall_uncovered_lines,projects,public_api,public_documented_api_density,public_undocumented_api,quality_gate_details,alert_status,reopened_issues,skipped_tests,development_cost,sqale_rating,statements,new_technical_debt,sqale_debt_ratio,new_sqale_debt_ratio,uncovered_conditions,new_it_uncovered_conditions,new_uncovered_conditions,uncovered_lines,new_it_uncovered_lines,new_uncovered_lines,test_errors,test_failures,test_success_density,tests,test_data,test_execution_time,code_smells:complex_class,code_smells:blob_class,code_smells:class_data_private,code_smells:functional_decomposition,code_smells:spaghetti_code,code_smells:antisingleton,code_smells:baseclass_knows_derived,code_smells:baseclass_abstract,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:speculative_generality,code_smells:swiss_army_knife,code_smells:tradition_breaker,Jira
COCOON,2003-03-13T00:00:00+0100,324,17,null,null,null,null,null,1269,null,32393,null,24.1,null,23939,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,452,null,236,376,176,11566,5.0,null,0,1094,0=393;5=169;10=192;20=75;30=160;60=69;90=36,7994,1=4048;2=1625;4=655;6=374;8=228;10=132;12=364,null,null,127,10478,null,null,null,null,null,null,null,null,null,null,null,null,null,230152,101826,java=101826,null,null,null,5448,4434,null,null,null,null,null,null,null,10478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7845,61.9,2988,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10478";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3054780,A,46949,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,156,0,13,0,1,24,0,2,0,40,197,28,1,0,0,0,0,0,501
COCOON,2003-03-14T00:00:00+0100,324,17,null,null,null,null,null,1269,null,32393,null,24.1,null,23941,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,452,null,236,376,176,11566,5.0,null,0,1094,0=393;5=169;10=192;20=75;30=160;60=69;90=36,7994,1=4048;2=1625;4=654;6=375;8=228;10=132;12=364,null,null,127,10478,null,null,null,null,null,null,null,null,null,null,null,null,null,230157,101829,java=101829,null,null,null,5448,4434,null,null,null,null,null,null,null,10478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7845,61.9,2988,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"0";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10478";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3054870,A,46951,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504
COCOON,2003-03-15T00:00:00+0100,324,17,null,null,null,null,null,1269,null,32389,null,24.1,null,23943,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,452,null,236,376,176,11570,5.0,null,0,1094,0=392;5=170;10=192;20=75;30=160;60=69;90=36,7994,1=4048;2=1624;4=655;6=375;8=228;10=132;12=364,null,null,127,10475,null,null,null,null,null,null,null,null,null,null,null,null,null,230156,101832,java=101832,null,null,null,5445,4434,null,null,null,null,null,null,null,10475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7845,61.9,2988,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"0";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10475";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3054960,A,46953,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505
COCOON,2003-03-16T00:00:00+0100,324,17,null,null,null,null,null,1266,null,32329,null,24.1,null,23912,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,445,null,235,371,175,11514,5.0,null,0,1091,0=390;5=170;10=192;20=74;30=158;60=71;90=36,7984,1=4040;2=1619;4=658;6=378;8=226;10=132;12=363,null,null,124,10449,null,null,null,null,null,null,null,null,null,null,null,null,null,229739,101712,java=101712,null,null,null,5430,4433,null,null,null,null,null,null,null,10449,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7828,62.0,2976,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-7";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10449";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3051360,A,46874,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506
COCOON,2003-03-17T00:00:00+0100,325,17,null,null,null,null,null,1267,null,32482,null,24.2,null,23908,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,445,null,235,371,175,11518,5.0,null,0,1091,0=390;5=170;10=192;20=74;30=158;60=71;90=36,7983,1=4040;2=1617;4=659;6=379;8=224;10=132;12=364,null,null,122,10453,null,null,null,null,null,null,null,null,null,null,null,null,null,229884,101739,java=101739,null,null,null,5428,4441,null,null,null,null,null,null,null,10453,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7826,62.6,2928,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-7";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10453";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3052170,A,46888,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506
COCOON,2003-03-18T00:00:00+0100,325,17,null,null,null,null,null,1268,null,32510,null,24.2,null,23937,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,447,null,235,377,178,11675,5.1,null,0,1092,0=390;5=170;10=193;20=74;30=158;60=71;90=36,7987,1=4041;2=1617;4=658;6=380;8=226;10=133;12=364,null,null,121,10466,null,null,null,null,null,null,null,null,null,null,null,null,null,230066,101828,java=101828,null,null,null,5438,4443,null,null,null,null,null,null,null,10466,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7830,62.6,2928,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-5";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10466";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3054840,A,46955,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,507
COCOON,2003-03-19T00:00:00+0100,327,17,null,null,null,null,null,1270,null,32577,null,24.2,null,24017,18.9,22.0,3.0,null,null,null,null,null,null,0,null,null,null,null,null,445,null,235,377,179,11656,5.1,null,0,1094,0=390;5=170;10=195;20=74;30=157;60=72;90=36,8004,1=4049;2=1619;4=660;6=383;8=225;10=133;12=367,null,null,121,10482,null,null,null,null,null,null,null,null,null,null,null,null,null,230742,102176,java=102176,null,null,null,5446,4453,null,null,null,null,null,null,null,10482,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7840,62.6,2934,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-7";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10482";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3065280,A,47123,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,507
COCOON,2003-03-20T00:00:00+0100,328,17,null,null,null,null,null,1274,null,32695,null,24.2,null,24057,18.9,21.9,3.0,null,null,null,null,null,null,0,null,null,null,null,null,445,null,235,377,179,11642,5.0,null,0,1097,0=392;5=170;10=195;20=74;30=158;60=72;90=36,8041,1=4083;2=1618;4=661;6=383;8=225;10=133;12=367,null,null,122,10495,null,null,null,null,null,null,null,null,null,null,null,null,null,231280,102331,java=102331,null,null,null,5451,4460,null,null,null,null,null,null,null,10495,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7880,62.3,2968,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-7";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10495";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3069930,A,47168,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511
COCOON,2003-03-21T00:00:00+0100,327,17,null,null,null,null,null,1277,null,32787,null,24.2,null,24155,18.9,22.0,3.0,null,null,null,null,null,null,0,null,null,null,null,null,445,null,233,394,179,12171,5.2,null,0,1100,0=393;5=171;10=193;20=76;30=159;60=71;90=37,8013,1=4028;2=1623;4=666;6=390;8=225;10=137;12=368,null,null,122,10458,null,null,null,null,null,null,null,null,null,null,null,null,null,232232,102852,java=102852,null,null,null,5381,4493,null,null,null,null,null,null,null,10458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7844,62.9,2907,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-7";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10458";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3085560,A,47477,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,512
COCOON,2003-03-22T00:00:00+0100,327,17,null,null,null,null,null,1277,null,32801,null,24.2,null,24183,18.9,22.0,3.0,null,null,null,null,null,null,0,null,null,null,null,null,446,null,233,394,179,12133,5.2,null,0,1100,0=393;5=171;10=193;20=76;30=159;60=71;90=37,8018,1=4027;2=1623;4=666;6=392;8=227;10=137;12=368,null,null,122,10462,null,null,null,null,null,null,null,null,null,null,null,null,null,232360,102950,java=102950,null,null,null,5386,4491,null,null,null,null,null,null,null,10462,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7848,63.0,2907,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"17";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"-6";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"10462";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,3088500,A,47532,null,3.7,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
